Model,Precision,Recall,F1,Train Time (s)
Transformer_DistilBERT,0.8838541666666667,0.9013810198300283,0.8925315568022439,
BiLSTM,0.8048990857340004,0.8306925405020473,0.8175924303486947,
LSTM,0.7225228271897193,0.7607263663877515,0.7411325990807388,
